variable,corr,corr_rank
Respiration_Rate,-0.0555062053627331,1
Task_Type,-0.05037792309068311,2
EEG_Power_Bands_A,-0.04234357443823266,3
Educational_Level,-0.03814922826961526,4
EEG_Power_Bands_B,0.03798249884476789,5
Ambient_Noise,-0.03505151043944062,6
GSR,0.03179140782859341,7
Blood_Pressure_Systolic,-0.03177858331778501,8
Focus_Duration,-0.027429555658203042,9
Heart_Rate,-0.027039672354771407,10
Cognitive_Load,-0.026736434508028425,11
Gender_Female,0.025001953353911657,12
Psychological_State,-0.02474727088280003,13
HRV,0.020875290994970146,14
Gender_Male,-0.01949763499532934,15
Skin_Temp,-0.015608389611746012,16
Study_Major,-0.00964103087649601,17
Age,0.0065955747875538736,18
Gender_Other,-0.005334094121603965,19
Blood_Pressure_Diastolic,-0.0037238668575982166,20
Oxygen_Saturation,-0.0017078982659788015,21
EEG_Power_Bands_D,-3.173097318448856e-05,22
