variable,p_kruskal,p_anova,kruskal_rank,anova_rank
Task_Type,0.1161084184901821,0.520855157392144,1,12
Ambient_Noise,0.16540157317050466,0.16647339532532288,2,1
Respiration_Rate,0.18596187844703568,0.18983809810688576,3,2
Focus_Duration,0.24759124570594349,0.26459549050907805,4,4
EEG_Power_Bands_B,0.335037110515808,0.33558066587577867,5,5
EEG_Power_Bands_A,0.34033211705798355,0.3448110025764531,6,7
Gender_Male,0.34065990019441106,0.34113365449224,7,6
HRV,0.3454320452697662,0.5872603386512503,8,14
Cognitive_Load,0.35738262927754266,0.3630974017357352,9,8
Study_Major,0.38254830040741156,0.9462279100740874,10,20
Gender_Female,0.3962333944609483,0.3968220295509901,11,9
Gender_Other,0.4012679321088384,0.401865747521462,12,10
Psychological_State,0.47023150529181534,0.2543791496443218,13,3
GSR,0.5060572070075466,0.5117274473390041,14,11
Heart_Rate,0.5651731807837259,0.5597136375660958,15,13
EEG_Power_Bands_D,0.692990355960234,0.6671802450223865,16,15
Blood_Pressure_Systolic,0.7243288980117644,0.7576423419795985,17,17
Educational_Level,0.7300338265341211,0.7322544262563535,18,16
Age,0.8771819493066833,0.8829910963384466,19,18
Oxygen_Saturation,0.9333975542657802,0.9429107414517719,20,19
Blood_Pressure_Diastolic,0.9439913284998528,0.9493492620714749,21,21
Skin_Temp,0.9593217051550603,0.9589449931881942,22,22
